record_id,dataset,mutation_family,split,reason,source_task,execution_failure_type
mutation::humaneval_HumanEval_160_mut_01584,humaneval,boundary,train,no_current-policy-reference-valid-mutation-killing-test,humaneval_HumanEval_160_mut_01584,reference_invalid
mutation::humaneval_HumanEval_160_mut_01585,humaneval,index,train,no_current-policy-reference-valid-mutation-killing-test,humaneval_HumanEval_160_mut_01585,reference_invalid
mutation::humaneval_HumanEval_160_mut_01586,humaneval,boundary,train,no_current-policy-reference-valid-mutation-killing-test,humaneval_HumanEval_160_mut_01586,reference_invalid
mutation::humaneval_HumanEval_160_mut_01587,humaneval,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,humaneval_HumanEval_160_mut_01587,reference_invalid
mutation::mbpp_100_mut_02534,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02534,reference_invalid
mutation::mbpp_100_mut_02535,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02535,reference_invalid
mutation::mbpp_100_mut_02536,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02536,reference_invalid
mutation::mbpp_100_mut_02537,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02537,reference_invalid
mutation::mbpp_100_mut_02538,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02538,reference_invalid
mutation::mbpp_100_mut_02539,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02539,reference_invalid
mutation::mbpp_100_mut_02540,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02540,reference_invalid
mutation::mbpp_100_mut_02541,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_100_mut_02541,reference_invalid
mutation::mbpp_124_mut_02748,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_124_mut_02748,reference_invalid
mutation::mbpp_137_mut_02862,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_137_mut_02862,reference_invalid
mutation::mbpp_137_mut_02863,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_137_mut_02863,reference_invalid
mutation::mbpp_137_mut_02864,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_137_mut_02864,reference_invalid
mutation::mbpp_137_mut_02865,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_137_mut_02865,reference_invalid
mutation::mbpp_137_mut_02866,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_137_mut_02866,reference_invalid
mutation::mbpp_137_mut_02867,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_137_mut_02867,reference_invalid
mutation::mbpp_173_mut_03237,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_173_mut_03237,reference_invalid
mutation::mbpp_210_mut_03585,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_210_mut_03585,reference_invalid
mutation::mbpp_210_mut_03586,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_210_mut_03586,reference_invalid
mutation::mbpp_210_mut_03587,mbpp,negate_removal,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_210_mut_03587,reference_invalid
mutation::mbpp_210_mut_03588,mbpp,arithmetic,val,no_current-policy-reference-valid-mutation-killing-test,mbpp_210_mut_03588,reference_invalid
mutation::mbpp_303_mut_04340,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04340,reference_invalid
mutation::mbpp_303_mut_04341,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04341,reference_invalid
mutation::mbpp_303_mut_04342,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04342,reference_invalid
mutation::mbpp_303_mut_04344,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04344,reference_invalid
mutation::mbpp_303_mut_04348,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04348,reference_invalid
mutation::mbpp_303_mut_04349,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04349,reference_invalid
mutation::mbpp_303_mut_04352,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04352,reference_invalid
mutation::mbpp_303_mut_04353,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04353,reference_invalid
mutation::mbpp_303_mut_04354,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04354,reference_invalid
mutation::mbpp_303_mut_04355,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04355,reference_invalid
mutation::mbpp_303_mut_04356,mbpp,off_by_one,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_303_mut_04356,reference_invalid
mutation::mbpp_403_mut_05257,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05257,reference_invalid
mutation::mbpp_403_mut_05259,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05259,reference_invalid
mutation::mbpp_403_mut_05263,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05263,reference_invalid
mutation::mbpp_403_mut_05264,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05264,reference_invalid
mutation::mbpp_403_mut_05265,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05265,reference_invalid
mutation::mbpp_403_mut_05266,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05266,reference_invalid
mutation::mbpp_403_mut_05268,mbpp,boolean,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05268,reference_invalid
mutation::mbpp_403_mut_05271,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05271,reference_invalid
mutation::mbpp_403_mut_05275,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05275,reference_invalid
mutation::mbpp_403_mut_05276,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05276,reference_invalid
mutation::mbpp_403_mut_05280,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05280,reference_invalid
mutation::mbpp_403_mut_05284,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_403_mut_05284,reference_invalid
mutation::mbpp_442_mut_05586,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_442_mut_05586,reference_invalid
mutation::mbpp_442_mut_05587,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_442_mut_05587,reference_invalid
mutation::mbpp_442_mut_05588,mbpp,comparison,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_442_mut_05588,reference_invalid
mutation::mbpp_442_mut_05589,mbpp,arithmetic,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_442_mut_05589,reference_invalid
mutation::mbpp_442_mut_05590,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_442_mut_05590,reference_invalid
mutation::mbpp_442_mut_05591,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_442_mut_05591,reference_invalid
mutation::mbpp_530_mut_06493,mbpp,boundary,train,no_current-policy-reference-valid-mutation-killing-test,mbpp_530_mut_06493,reference_invalid
